Id,SalePrice
1461,128046.8058234137
1462,120926.0377784026
1463,175122.21974383772
1464,199912.99134382088
1465,181195.1326226815
1466,172069.13692068696
1467,190895.16371644047
1468,165537.4307627804
1469,192784.51056649428
1470,115515.62810328878
1471,196863.81652217088
1472,110017.8026511651
1473,104415.66114056476
1474,159395.96019712155
1475,121699.54390020283
1476,346206.95364339347
1477,246505.91944801688
1478,268673.14952084504
1479,258471.32574585103
1480,481100.1927111198
1481,296434.39954756654
1482,199165.03937077563
1483,167406.7307192485
1484,161679.74703979728
1485,183576.29169515782
1486,197798.96062244265
1487,311021.4759838398
1488,244248.4447098369
1489,184086.84161984446
1490,223914.16176069833
1491,190652.74130959113
1492,96333.60086187901
1493,210205.8482875024
1494,286574.9675781022
1495,284493.0970753849
1496,216320.1377559849
1497,165809.25294384494
1498,150003.8813425845
1499,155337.56788246764
1500,144203.87101254705
1501,152860.83269370146
1502,146627.8669086962
1503,298048.02228583145
1504,236507.71310142105
1505,218920.509531921
1506,191018.20682009525
1507,256875.32356312656
1508,193919.92845461072
1509,157243.38194941793
1510,135567.58020731437
1511,142086.35821883858
1512,172786.53343343685
1513,141231.80249912813
1514,160395.032989493
1515,201469.4637867799
1516,152510.16281651697
1517,166244.55757545462
1518,133926.90837877223
1519,217785.16196916776
1520,122383.47921673837
1521,122376.4347364774
1522,177800.4047048481
1523,98693.94901934551
1524,113587.8163087527
1525,118796.56181722047
1526,104470.48748134737
1527,99503.49944471872
1528,150297.33667756163
1529,137661.8576141176
1530,217357.3526659478
1531,109871.18316924
1532,107945.31348919122
1533,150766.42544068696
1534,127198.0392508772
1535,156630.80086354417
1536,112535.35303228434
1537,71913.48691788637
1538,170639.5482893037
1539,184268.3676103723
1540,95140.50786082944
1541,141456.74106480274
1542,141857.99504696424
1543,186324.6072962122
1544,92119.44653304433
1545,123223.20566847602
1546,135630.42786103487
1547,139262.24682186524
1548,138165.288501421
1549,119967.2760972313
1550,126330.0140954217
1551,123324.06925515138
1552,135262.9877053601
1553,140491.144160827
1554,123886.93476356422
1555,160069.6646682818
1556,90199.48519562503
1557,96621.53353521552
1558,101394.68151877598
1559,77827.71972726172
1560,126733.98059152534
1561,117831.05220212798
1562,130750.96994998262
1563,113676.0612122223
1564,164284.1592362668
1565,149160.598487844
1566,251060.02573908665
1567,80083.44623517334
1568,209543.63309856274
1569,114995.20014657763
1570,142388.3229645644
1571,118231.28113421847
1572,143238.12969800408
1573,254629.6517101655
1574,113253.73587086522
1575,227170.8877211235
1576,257129.95634539105
1577,180420.57658238866
1578,132477.82482726665
1579,135945.56008216104
1580,201499.4958729172
1581,154985.20229493064
1582,125658.8113366588
1583,334051.8028418517
1584,227831.16389517818
1585,139305.3191905109
1586,80417.82270953516
1587,105314.61206611847
1588,146336.22447885084
1589,103421.65632512291
1590,141519.49513939297
1591,87491.6812011892
1592,118908.11546235606
1593,127083.17680614849
1594,124628.68544168983
1595,92767.1060974198
1596,210406.86434797233
1597,164668.4162417142
1598,188548.98946506
1599,184349.22486993382
1600,174606.04409966382
1601,68893.33989527245
1602,114600.54290022921
1603,90998.73800648349
1604,246757.64469189593
1605,258784.44990571906
1606,177847.04768321
1607,187957.33307555696
1608,210071.31193373213
1609,188874.94960180786
1610,146558.14147818697
1611,140603.28968191275
1612,164838.04808557229
1613,172150.8547720396
1614,131910.37609523544
1615,99146.94893148176
1616,82467.30179680193
1617,103121.4876284822
1618,126679.8903195136
1619,146451.46532817502
1620,166627.74676733508
1621,139026.2230387994
1622,140263.42935044345
1623,285675.6268566326
1624,205531.89208382025
1625,118183.77327689805
1626,176846.14789396495
1627,192223.257603933
1628,281678.59615802555
1629,176790.87632293452
1630,341115.7926671903
1631,195844.0695639311
1632,216474.76995863015
1633,175462.1346638947
1634,185590.40950052152
1635,176304.9508160977
1636,156879.05371821247
1637,189626.79856209707
1638,203677.144176625
1639,191633.60266044465
1640,266531.04390732764
1641,183682.2151665641
1642,221570.08435482386
1643,221876.43650531955
1644,230710.18433816245
1645,247762.7045126012
1646,168484.94752995807
1647,167136.9921701529
1648,128703.6891408176
1649,137573.29920380437
1650,120365.3694121859
1651,125631.22171666977
1652,111444.18070039597
1653,117860.26445014692
1654,153608.0205163936
